#separator:Tab
#html:false
#deck:Math List::Calculus
#tags column:6
#columns:ID	Front	Back	Speed	Topic	Tags
poly_int_001	Integrate: \(\int x^n\,dx\), for \(n \ne -1\).	\(\frac{x^{n+1}}{n+1}+C\)	reflex	calculus	math-list calculus powers integration reflex
poly_int_002	Integrate: \(\int 4x^6\,dx\).	\(\frac{4}{7}x^7+C\)	reflex	calculus	math-list calculus powers integration reflex
poly_int_003	Integrate: \(\int x^{-3}\,dx\).	\(-\frac{1}{2}x^{-2}+C\)	reflex	calculus	math-list calculus powers integration reflex
poly_int_004	Integrate: \(\int 3x^{1/2}\,dx\).	\(2x^{3/2}+C\)	reflex	calculus	math-list calculus powers integration reflex
poly_int_005	Integrate: \(\int x^{-1}\,dx\).	\(\ln|x|+C\)	reflex	calculus	math-list calculus powers integration reflex exception
poly_int_006	For integration of \(x^n\), which happens first: add or divide?	Add \(1\) to the power first; then divide by the new power \(n+1\).	reflex	calculus	math-list calculus powers integration reflex
chain_int_001	Integrate: \(\int (1+2x)^3\,dx\).	\(\frac{(1+2x)^4}{8}+C\)	reflex	calculus	math-list calculus reverse-chain-rule integration reflex
chain_int_002	Integrate: \(\int \sqrt{1+5x}\,dx\).	\(\frac{2}{15}(1+5x)^{3/2}+C\)	reflex	calculus	math-list calculus reverse-chain-rule integration radicals reflex
linear_log_int_001	Integrate: \(\int \frac{1}{a+bx}\,dx\), for \(b\ne 0\).	\(\frac{1}{b}\ln|a+bx|+C\)	reflex	calculus	math-list calculus logarithms integration linear-denominator reflex
linear_log_int_002	Integrate: \(\int \frac{1}{3+5x}\,dx\).	\(\frac{1}{5}\ln|3+5x|+C\)	reflex	calculus	math-list calculus logarithms integration linear-denominator reflex
